date_time	city_name	category_name	subcategory_name	sku_id	store_id	total_est_qty_sold
06-03-2025 01:13	Agra	Munchies	Bhujia & Mixtures	559017	33920	1
06-03-2025 01:13	Agra	Munchies	Bhujia & Mixtures	547731	33920	2
06-03-2025 01:13	Agra	Munchies	Bhujia & Mixtures	559016	33920	1
06-03-2025 01:14	Agra	Munchies	Bhujia & Mixtures	547731	33968	0
06-03-2025 01:14	Agra	Munchies	Bhujia & Mixtures	559017	33968	0
06-03-2025 01:14	Agra	Munchies	Bhujia & Mixtures	559016	33968	0
06-03-2025 01:16	Agra	Munchies	Bhujia & Mixtures	547731	34412	0
06-03-2025 01:16	Agra	Munchies	Bhujia & Mixtures	559017	34412	0
06-03-2025 01:16	Agra	Munchies	Bhujia & Mixtures	559016	34412	0
06-03-2025 01:24	Agra	Munchies	Bhujia & Mixtures	547731	35916	0
06-03-2025 01:24	Agra	Munchies	Bhujia & Mixtures	559016	35916	0
06-03-2025 01:24	Agra	Munchies	Bhujia & Mixtures	559017	35916	0
06-03-2025 01:26	Agra	Munchies	Bhujia & Mixtures	559016	36058	0
06-03-2025 01:26	Agra	Munchies	Bhujia & Mixtures	547731	36058	0
06-03-2025 01:26	Agra	Munchies	Bhujia & Mixtures	559017	36058	0
06-03-2025 18:33	Agra	Munchies	Bhujia & Mixtures	559017	33920	0
06-03-2025 18:33	Agra	Munchies	Bhujia & Mixtures	547731	33920	0
06-03-2025 18:33	Agra	Munchies	Bhujia & Mixtures	559016	33920	0
06-03-2025 18:36	Agra	Munchies	Bhujia & Mixtures	547731	34412	4
06-03-2025 18:36	Agra	Munchies	Bhujia & Mixtures	559016	34412	2
06-03-2025 18:36	Agra	Munchies	Bhujia & Mixtures	559017	34412	1
06-03-2025 18:46	Agra	Munchies	Bhujia & Mixtures	547731	35916	0
06-03-2025 18:46	Agra	Munchies	Bhujia & Mixtures	559016	35916	0
06-03-2025 18:46	Agra	Munchies	Bhujia & Mixtures	559017	35916	0
06-03-2025 18:49	Agra	Munchies	Bhujia & Mixtures	559016	36058	0
06-03-2025 18:49	Agra	Munchies	Bhujia & Mixtures	547731	36058	0
06-03-2025 18:49	Agra	Munchies	Bhujia & Mixtures	559017	36058	0
06-03-2025 18:51	Agra	Munchies	Bhujia & Mixtures	559016	36784	0
06-03-2025 18:51	Agra	Munchies	Bhujia & Mixtures	547731	36784	0
06-03-2025 18:51	Agra	Munchies	Bhujia & Mixtures	559017	36784	0
07-03-2025 01:22	Agra	Munchies	Bhujia & Mixtures	559017	36784	1
07-03-2025 01:22	Agra	Munchies	Bhujia & Mixtures	559016	36784	1
07-03-2025 01:22	Agra	Munchies	Bhujia & Mixtures	547731	36784	2
07-03-2025 01:37	Agra	Munchies	Bhujia & Mixtures	547731	33968	1
07-03-2025 01:37	Agra	Munchies	Bhujia & Mixtures	559017	33968	0
07-03-2025 01:37	Agra	Munchies	Bhujia & Mixtures	559016	33968	1
11-03-2025 18:54	Agra	Munchies	Bhujia & Mixtures	559016	34412	0
11-03-2025 18:54	Agra	Munchies	Bhujia & Mixtures	559017	34412	0
11-03-2025 18:54	Agra	Munchies	Bhujia & Mixtures	547731	34412	0
11-03-2025 19:04	Agra	Munchies	Bhujia & Mixtures	559016	36058	0
11-03-2025 19:04	Agra	Munchies	Bhujia & Mixtures	547731	36058	0
